,MALE,FEMALE,INTERSEX,TOTAL,# OF HSEHOLDS,AVG HSEHOLD SIZE,Land Area (Sq. Km),Population Density (No. per Sq. Km),County,Subcounty
277,38977,39893,3,78873,15276,5.2,126.5,624,BUNGOMA,Mt Elgon
278,58225,61649,1,119875,25172,4.8,211.0,568,BUNGOMA,Bungoma West
279,48685,51657,1,100343,21343,4.7,185.3,542,BUNGOMA,Tongaren
280,74180,78331,4,152515,32839,4.6,238.9,638,BUNGOMA,Webuye West
281,1862,1759,0,3621,798,4.5,605.8,6,BUNGOMA,Mt Elgon Forest
282,41465,44511,1,85977,19039,4.5,192.2,447,BUSIA,Bunyala
283,69034,73373,1,142408,33160,4.2,196.0,727,BUSIA,Busia
284,65136,75195,3,140334,32213,4.3,243.6,576,BUSIA,Butula
285,52900,58732,4,111636,23892,4.7,238.1,469,BUSIA,Nambale
286,50821,56341,14,107176,23884,4.5,262.4,408,BUSIA,Samia
287,66412,71619,3,138034,29395,4.7,261.0,529,BUSIA,Teso North
288,80484,87630,2,168116,36569,4.6,302.9,555,BUSIA,Teso South
289,105906,118433,4,224343,57553,3.9,598.9,375,SIAYA,Siaya
290,85696,94092,4,179792,44884,4.0,405.3,444,SIAYA,Gem
291,62624,71726,4,134354,33565,4.0,323.5,415,SIAYA,Ugenya
292,48912,55329,0,104241,26328,3.9,201.0,519,SIAYA,Ugunja
293,95962,101917,4,197883,51362,3.8,598.8,330,SIAYA,Bondo
294,72569,79999,2,152570,37006,4.1,402.4,379,SIAYA,Rarieda
295,108304,112689,4,220997,61871,3.6,141.6,1560,KISUMU,Kisumu East
296,84155,89985,5,174145,52331,3.3,36.8,4737,KISUMU,Kisumu Central
297,85697,87121,3,172821,45933,3.7,209.0,827,KISUMU,Kisumu West
298,57658,64007,2,121667,29404,4.1,267.7,455,KISUMU,Seme
299,76770,77345,1,154116,37193,4.1,657.5,234,KISUMU,Muhoroni
300,77121,84380,7,161508,38460,4.2,446.1,362,KISUMU,Nyando
